Pollutant,My_Pollutant
BC,BC
BC_AWB,BC
C2F6,Other
CF4,Other
CH4,CH4
CH4_AGR,CH4
CH4_AWB,CH4
CO,CO
CO2,CO2
CO_AWB,CO
HFC125,Other
HFC134a,Other
HFC143a,Other
HFC152a,Other
HFC227ea,Other
HFC23,Other
HFC236fa,Other
HFC245fa,Other
HFC32,Other
HFC365mfc,Other
N2O,N2O
N2O_AGR,N2O
N2O_AWB,N2O
NH3,NH3
NH3_AGR,NH3
NH3_AWB,NH3
NMVOC,NMVOC
NMVOC_AWB,NMVOC
NOx,NOx
NOx_AGR,NOx
NOx_AWB,NOx
OC,OC
OC_AWB,OC_AWB
SF6,Other
SO2_1,SO2
SO2_1_AWB,SO2
SO2_2,SO2
SO2_2_AWB,SO2
SO2_3,SO2
SO2_3_AWB,SO2
SO2_4,SO2
SO2_4_AWB,SO2
