"region","year","units","value"
"ARG","2070","ppbv",35.7835082318079
"AUS","2070","ppbv",35.232892117022
"AUT","2070","ppbv",57.404859786533
"BGR","2070","ppbv",58.0581318050977
"BLX","2070","ppbv",54.6868132112877
"BRA","2070","ppbv",42.9309792324574
"CAN","2070","ppbv",51.9266870802386
"CHE","2070","ppbv",57.5075837209305
"CHL","2070","ppbv",42.3275373766306
"CHN","2070","ppbv",56.2893827024407
"COR","2070","ppbv",60.9822710737632
"EAF","2070","ppbv",55.8240185632738
"EGY","2070","ppbv",75.6563068640565
"ESP","2070","ppbv",60.229973086921
"FIN","2070","ppbv",42.6189677070793
"FRA","2070","ppbv",54.8510750773212
"GBR","2070","ppbv",50.1853579545585
"GOLF","2070","ppbv",77.0781248386474
"GRC","2070","ppbv",64.2713206607934
"HUN","2070","ppbv",55.2988935157436
"IDN","2070","ppbv",46.8382940514253
"ITA","2070","ppbv",65.8948577497607
"JPN","2070","ppbv",58.2028070819386
"KAZ","2070","ppbv",50.0711891476431
"MEME","2070","ppbv",69.3264640934631
"MEX","2070","ppbv",61.1328158454977
"MON","2070","ppbv",53.9426523062832
"MYS","2070","ppbv",53.2050089591752
"NDE","2070","ppbv",105.246730082214
"NOA","2070","ppbv",67.7055312638785
"NOR","2070","ppbv",45.4484975400426
"NZL","2070","ppbv",35.4566944588184
"PAC","2070","ppbv",32.716582901568
"PHL","2070","ppbv",42.6771196729069
"POL","2070","ppbv",51.8387037271671
"RCAM","2070","ppbv",46.9351952152556
"RCEU","2070","ppbv",60.1978944960955
"RCZ","2070","ppbv",55.0597755292101
"RFA","2070","ppbv",54.8134976028847
"RIS","2070","ppbv",61.5381487176199
"ROM","2070","ppbv",55.1294403135474
"RSA","2070","ppbv",50.3305218389229
"RSAM","2070","ppbv",40.0116167617167
"RSAS","2070","ppbv",93.3395102062237
"RSEA","2070","ppbv",69.6484348313933
"RUE","2070","ppbv",39.9169017612387
"RUS","2070","ppbv",48.6760453451158
"SAF","2070","ppbv",54.7854582833504
"SWE","2070","ppbv",47.3185600626419
"THA","2070","ppbv",60.6928855048227
"TUR","2070","ppbv",63.6318079161445
"TWN","2070","ppbv",60.7915851803616
"UKR","2070","ppbv",51.6559144235727
"USA","2070","ppbv",61.7191841338151
"VNM","2070","ppbv",51.6845951817572
"WAF","2070","ppbv",70.5523909135919
