"region","year","RESP","tot"
"ARG","2080",2608,2608
"AUS","2080",1284,1284
"AUT","2080",7300,7300
"BGR","2080",4340,4340
"BLX","2080",17912,17912
"BRA","2080",45952,45952
"CAN","2080",28608,28608
"CHE","2080",5646,5646
"CHL","2080",3227,3227
"CHN","2080",2567455,2567455
"COR","2080",102567,102567
"EAF","2080",683569,683569
"EGY","2080",232268,232268
"ESP","2080",35185,35185
"FIN","2080",1598,1598
"FRA","2080",38144,38144
"GBR","2080",37455,37455
"GOLF","2080",192126,192126
"GRC","2080",8089,8089
"HUN","2080",4302,4302
"IDN","2080",129519,129519
"ITA","2080",39519,39519
"JPN","2080",30768,30768
"KAZ","2080",8959,8959
"MEME","2080",86318,86318
"MEX","2080",76444,76444
"MON","2080",36191,36191
"MYS","2080",19468,19468
"NDE","2080",8301727,8301727
"NOA","2080",95054,95054
"NOR","2080",2729,2729
"NZL","2080",232,232
"PAC","2080",0,0
"PHL","2080",219625,219625
"POL","2080",19563,19563
"RCAM","2080",29126,29126
"RCEU","2080",16513,16513
"RCZ","2080",11281,11281
"RFA","2080",44020,44020
"RIS","2080",52679,52679
"ROM","2080",9331,9331
"RSA","2080",33566,33566
"RSAM","2080",8121,8121
"RSAS","2080",1284560,1284560
"RSEA","2080",300627,300627
"RUE","2080",7070,7070
"RUS","2080",54403,54403
"SAF","2080",138928,138928
"SWE","2080",7554,7554
"THA","2080",51913,51913
"TUR","2080",80290,80290
"TWN","2080",51733,51733
"UKR","2080",21218,21218
"USA","2080",383569,383569
"VNM","2080",223807,223807
"WAF","2080",881905,881905
