"region","year","disease","Damage_med","unit"
"ARG","2030","RESP",498,"Million$2015"
"AUS","2030","RESP",352,"Million$2015"
"AUT","2030","RESP",2482,"Million$2015"
"BGR","2030","RESP",903,"Million$2015"
"BLX","2030","RESP",7464,"Million$2015"
"BRA","2030","RESP",6345,"Million$2015"
"CAN","2030","RESP",8825,"Million$2015"
"CHE","2030","RESP",2248,"Million$2015"
"CHL","2030","RESP",537,"Million$2015"
"CHN","2030","RESP",1117698,"Million$2015"
"COR","2030","RESP",43225,"Million$2015"
"EAF","2030","RESP",3785,"Million$2015"
"EGY","2030","RESP",8563,"Million$2015"
"ESP","2030","RESP",16573,"Million$2015"
"FIN","2030","RESP",549,"Million$2015"
"FRA","2030","RESP",15832,"Million$2015"
"GBR","2030","RESP",12973,"Million$2015"
"GOLF","2030","RESP",13993,"Million$2015"
"GRC","2030","RESP",4061,"Million$2015"
"HUN","2030","RESP",1099,"Million$2015"
"IDN","2030","RESP",12356,"Million$2015"
"ITA","2030","RESP",24026,"Million$2015"
"JPN","2030","RESP",16568,"Million$2015"
"KAZ","2030","RESP",1304,"Million$2015"
"MEME","2030","RESP",4947,"Million$2015"
"MEX","2030","RESP",9639,"Million$2015"
"MON","2030","RESP",555,"Million$2015"
"MYS","2030","RESP",2603,"Million$2015"
"NDE","2030","RESP",576638,"Million$2015"
"NOA","2030","RESP",5069,"Million$2015"
"NOR","2030","RESP",1058,"Million$2015"
"NZL","2030","RESP",39,"Million$2015"
"PAC","2030","RESP",0,"Million$2015"
"PHL","2030","RESP",6255,"Million$2015"
"POL","2030","RESP",6052,"Million$2015"
"RCAM","2030","RESP",2518,"Million$2015"
"RCEU","2030","RESP",3048,"Million$2015"
"RCZ","2030","RESP",2397,"Million$2015"
"RFA","2030","RESP",14451,"Million$2015"
"RIS","2030","RESP",5962,"Million$2015"
"ROM","2030","RESP",2595,"Million$2015"
"RSA","2030","RESP",2354,"Million$2015"
"RSAM","2030","RESP",755,"Million$2015"
"RSAS","2030","RESP",18255,"Million$2015"
"RSEA","2030","RESP",7357,"Million$2015"
"RUE","2030","RESP",1724,"Million$2015"
"RUS","2030","RESP",11903,"Million$2015"
"SAF","2030","RESP",688,"Million$2015"
"SWE","2030","RESP",2479,"Million$2015"
"THA","2030","RESP",8175,"Million$2015"
"TUR","2030","RESP",9335,"Million$2015"
"TWN","2030","RESP",35225,"Million$2015"
"UKR","2030","RESP",4464,"Million$2015"
"USA","2030","RESP",109212,"Million$2015"
"VNM","2030","RESP",28379,"Million$2015"
"WAF","2030","RESP",6157,"Million$2015"
