"region","year","disease","mort_o3"
"ARG","2070","RESP",167
"AUS","2070","RESP",90
"AUT","2070","RESP",520
"BGR","2070","RESP",271
"BLX","2070","RESP",1281
"BRA","2070","RESP",2827
"CAN","2070","RESP",1985
"CHE","2070","RESP",432
"CHL","2070","RESP",244
"CHN","2070","RESP",204460
"COR","2070","RESP",9090
"EAF","2070","RESP",26817
"EGY","2070","RESP",9867
"ESP","2070","RESP",3229
"FIN","2070","RESP",110
"FRA","2070","RESP",3094
"GBR","2070","RESP",2648
"GOLF","2070","RESP",9173
"GRC","2070","RESP",728
"HUN","2070","RESP",257
"IDN","2070","RESP",7055
"ITA","2070","RESP",3622
"JPN","2070","RESP",2850
"KAZ","2070","RESP",453
"MEME","2070","RESP",4659
"MEX","2070","RESP",4890
"MON","2070","RESP",2306
"MYS","2070","RESP",1127
"NDE","2070","RESP",463247
"NOA","2070","RESP",5130
"NOR","2070","RESP",186
"NZL","2070","RESP",15
"PAC","2070","RESP",0
"PHL","2070","RESP",10561
"POL","2070","RESP",1278
"RCAM","2070","RESP",1718
"RCEU","2070","RESP",1120
"RCZ","2070","RESP",692
"RFA","2070","RESP",3127
"RIS","2070","RESP",2381
"ROM","2070","RESP",616
"RSA","2070","RESP",1667
"RSAM","2070","RESP",547
"RSAS","2070","RESP",63571
"RSEA","2070","RESP",17270
"RUE","2070","RESP",419
"RUS","2070","RESP",3151
"SAF","2070","RESP",5354
"SWE","2070","RESP",522
"THA","2070","RESP",3518
"TUR","2070","RESP",4909
"TWN","2070","RESP",4393
"UKR","2070","RESP",1198
"USA","2070","RESP",23607
"VNM","2070","RESP",14409
"WAF","2070","RESP",33267
