"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2060",0,0,0,0,0,0
"AUS","2060",0,0,0,0,0,0
"AUT","2060",12,1623,15169,1918,1228,19950
"BGR","2060",91,3897,36617,4473,15693,60771
"BLX","2060",89,7587,61503,8995,7803,85977
"BRA","2060",0,0,0,0,0,0
"CAN","2060",0,2095,50036,1992,586,54709
"CHE","2060",11,1794,13859,2011,1371,19046
"CHL","2060",130,5581,65513,3317,18892,93433
"CHN","2060",25026,5743991,4708694,2490084,14296931,27264725
"COR","2060",154,127417,102140,35562,153323,418595
"EAF","2060",174642,529530,2795395,105242,2189922,5794732
"EGY","2060",15589,244763,1299093,73795,901548,2534788
"ESP","2060",259,16900,154731,28964,27995,228849
"FIN","2060",0,0,0,0,0,0
"FRA","2060",71,7116,89836,10293,5517,112834
"GBR","2060",0,849,15826,875,236,17785
"GOLF","2060",15263,277760,3014750,237087,2048791,5593651
"GRC","2060",46,3632,29728,4730,3832,41969
"HUN","2060",18,2069,75699,2676,12442,92905
"IDN","2060",9840,146850,1572469,183986,358816,2271961
"ITA","2060",391,23953,153667,33392,41627,253029
"JPN","2060",1085,28350,168860,65699,104165,368159
"KAZ","2060",532,10472,322160,16632,142690,492486
"MEME","2060",3061,49627,275543,53152,109313,490696
"MEX","2060",2415,34058,443879,21520,135025,636896
"MON","2060",470,26767,178408,9125,44477,259247
"MYS","2060",81,2663,44471,5976,2854,56045
"NDE","2060",557060,6870180,22822233,2244067,18911354,51404893
"NOA","2060",9468,100540,432547,15763,473242,1031561
"NOR","2060",0,0,0,0,0,0
"NZL","2060",263,2580,12839,7510,10662,33854
"PAC","2060",0,1713,6470,521,390,9093
"PHL","2060",0,0,0,0,0,0
"POL","2060",0,1429,35345,1111,764,38649
"RCAM","2060",919,16623,240146,9495,36336,303520
"RCEU","2060",173,12287,125484,13767,45355,197066
"RCZ","2060",133,7673,43592,8945,11968,72312
"RFA","2060",279,26695,161470,29456,30086,247985
"RIS","2060",11753,84128,562630,92641,654073,1405225
"ROM","2060",79,5207,67222,5726,11924,90157
"RSA","2060",3371,32222,189422,5923,89711,320649
"RSAM","2060",424,3270,144234,2909,8869,159705
"RSAS","2060",154959,1056334,7318434,414536,3993247,12937511
"RSEA","2060",3124,270762,249646,103529,415894,1042956
"RUE","2060",0,621,19278,578,350,20827
"RUS","2060",216,15045,313921,15333,21799,366314
"SAF","2060",7186,43454,338889,7617,73079,470225
"SWE","2060",0,0,0,0,0,0
"THA","2060",3563,70410,502530,83108,308461,968072
"TUR","2060",814,40055,490865,42169,141198,715101
"TWN","2060",55,29506,46460,12956,56060,145038
"UKR","2060",0,320,27151,394,450,28315
"USA","2060",561,100254,1156531,89404,76047,1422797
"VNM","2060",761,251579,268473,97332,270431,888575
"WAF","2060",430977,736128,2564364,103040,3849998,7684507
